prob_nr	run	repetition	trial_type	condition	start	end
19	2	2	stress	math	446.371	506.343
19	2	2	relax	rotation	534.361	594.303
19	2	2	relax	math	622.279	682.283
20	1	1	relax	rotation	6.520	64.653
20	1	1	relax	math	94.389	152.855
20	1	1	stress	rotation	182.311	242.285
20	1	1	stress	math	270.250	328.880
20	1	2	relax	rotation	358.252	418.175
20	1	2	relax	math	446.142	506.138
20	1	2	stress	rotation	534.099	594.066
20	1	2	stress	math	622.052	682.029
20	2	1	stress	rotation	6.511	66.490
20	2	1	stress	math	94.479	154.469
20	2	1	relax	rotation	182.465	239.630
20	2	1	relax	math	270.357	329.677
20	2	2	stress	rotation	358.308	417.013
20	2	2	stress	math	446.284	504.578
20	2	2	relax	rotation	534.245	594.179
20	2	2	relax	math	622.140	680.397
21	1	1	relax	rotation	6.538	63.504
21	1	1	relax	math	94.427	151.129
21	1	1	stress	rotation	182.372	242.346
21	1	1	stress	math	270.351	330.325
21	1	2	relax	rotation	358.341	418.271
21	1	2	relax	math	446.244	504.125
21	1	2	stress	rotation	534.231	594.211
21	1	2	stress	math	622.217	682.207
21	2	1	stress	rotation	6.546	66.512
21	2	1	stress	math	94.507	154.475
21	2	1	relax	rotation	182.468	242.403
21	2	1	relax	math	270.382	330.365
21	2	2	stress	rotation	358.337	418.311
21	2	2	stress	math	446.293	506.290
21	2	2	relax	rotation	534.335	592.575
21	2	2	relax	math	622.206	681.341
22	1	1	relax	rotation	6.511	65.733
22	1	1	relax	math	94.399	154.379
22	1	1	stress	rotation	182.335	241.305
22	1	1	stress	math	270.310	330.304
22	1	2	relax	rotation	358.291	415.511
22	1	2	relax	math	446.234	504.746
22	1	2	stress	rotation	534.169	594.157
22	1	2	stress	math	622.141	681.639
22	2	1	stress	rotation	6.534	66.525
22	2	1	stress	math	94.526	153.282
22	2	1	relax	rotation	182.515	239.258
22	2	1	relax	math	270.416	328.156
22	2	2	stress	rotation	358.354	418.307
22	2	2	stress	math	446.307	505.192
22	2	2	relax	rotation	534.293	592.489
22	2	2	relax	math	622.181	678.128
23	1	1	relax	rotation	6.521	63.996
23	1	1	relax	math	94.428	152.746
23	1	1	stress	rotation	182.367	241.881
23	1	1	stress	math	270.334	328.932
23	1	2	relax	rotation	358.323	416.406
23	1	2	relax	math	446.231	505.240
23	1	2	stress	rotation	534.165	594.162
23	1	2	stress	math	622.153	680.867
23	2	1	stress	rotation	6.519	65.169
23	2	1	stress	math	94.502	154.477
23	2	1	relax	rotation	182.448	237.028
23	2	1	relax	math	270.332	330.333
23	2	2	stress	rotation	358.300	417.279
23	2	2	stress	math	446.285	505.423
23	2	2	relax	rotation	534.292	594.237
23	2	2	relax	math	622.200	680.715
24	1	1	relax	rotation	6.521	64.303
24	1	1	relax	math	94.411	153.783
24	1	1	stress	rotation	182.348	242.187
24	1	1	stress	math	270.324	330.309
24	1	2	relax	rotation	358.324	415.232
24	1	2	relax	math	446.211	505.940
24	1	2	stress	rotation	534.148	594.144
24	1	2	stress	math	622.124	681.673
24	2	1	stress	rotation	6.550	65.818
24	2	1	stress	math	94.519	154.499
24	2	1	relax	rotation	182.520	242.460
24	2	1	relax	math	270.451	330.422
24	2	2	stress	rotation	358.416	417.576
24	2	2	stress	math	446.387	505.548
24	2	2	relax	rotation	534.418	594.359
24	2	2	relax	math	622.351	679.946
25	1	1	relax	rotation	6.533	64.617
25	1	1	relax	math	94.449	154.431
25	1	1	stress	rotation	182.401	241.960
25	1	1	stress	math	270.360	329.361
25	1	2	relax	rotation	358.329	418.268
25	1	2	relax	math	446.265	506.246
25	1	2	stress	rotation	534.203	594.175
25	1	2	stress	math	622.175	682.170
25	2	1	stress	rotation	6.542	64.682
25	2	1	stress	math	94.535	154.529
25	2	1	relax	rotation	182.533	242.491
25	2	1	relax	math	270.458	327.640
25	2	2	stress	rotation	358.392	418.382
25	2	2	stress	math	446.373	506.361
25	2	2	relax	rotation	534.351	592.667
25	2	2	relax	math	622.247	682.235
26	1	1	relax	rotation	6.546	62.686
26	1	1	relax	math	94.418	151.743
26	1	1	stress	rotation	182.371	241.382
26	1	1	stress	math	270.325	330.304
26	1	2	relax	rotation	358.254	418.216
26	1	2	relax	math	446.201	506.178
26	1	2	stress	rotation	534.118	594.107
26	1	2	stress	math	622.104	681.802
26	2	1	stress	rotation	6.532	66.177
26	2	1	stress	math	94.528	154.056
26	2	1	relax	rotation	182.476	238.250
26	2	1	relax	math	270.371	330.359
26	2	2	stress	rotation	358.349	418.304
26	2	2	stress	math	446.293	506.267
26	2	2	relax	rotation	534.315	594.228
26	2	2	relax	math	622.202	680.153
27	1	1	relax	rotation	6.544	66.498
27	1	1	relax	math	94.449	153.708
27	1	1	stress	rotation	182.426	241.398
27	1	1	stress	math	270.407	330.241
27	1	2	relax	rotation	358.364	415.798
27	1	2	relax	math	446.255	503.466
27	1	2	stress	rotation	534.200	594.170
27	1	2	stress	math	622.137	682.132
27	2	1	stress	rotation	6.522	66.508
27	2	1	stress	math	94.497	154.486
27	2	1	relax	rotation	182.493	240.581
27	2	1	relax	math	270.369	327.519
27	2	2	stress	rotation	358.287	418.256
27	2	2	stress	math	446.266	506.118
27	2	2	relax	rotation	534.237	594.164
27	2	2	relax	math	622.157	680.841
28	1	1	relax	rotation	6.557	63.585
28	1	1	relax	math	94.416	154.400
28	1	1	stress	rotation	182.369	242.327
28	1	1	stress	math	270.319	329.535
28	1	2	relax	rotation	358.292	415.403
28	1	2	relax	math	446.167	503.198
28	1	2	stress	rotation	534.084	594.059
28	1	2	stress	math	622.037	681.651
28	2	1	stress	rotation	6.531	66.538
28	2	1	stress	math	94.488	154.483
28	2	1	relax	rotation	182.494	240.614
28	2	1	relax	math	270.402	328.951
28	2	2	stress	rotation	358.367	418.320
28	2	2	stress	math	446.336	505.414
28	2	2	relax	rotation	534.309	594.261
28	2	2	relax	math	622.235	682.080
29	1	1	relax	rotation	6.531	66.479
29	1	1	relax	math	94.457	153.931
29	1	1	stress	rotation	182.426	242.402
29	1	1	stress	math	270.402	330.397
29	1	2	relax	rotation	358.394	418.326
29	1	2	relax	math	446.289	506.272
29	1	2	stress	rotation	534.240	594.234
29	1	2	stress	math	622.198	681.746
29	2	1	stress	rotation	6.537	66.509
29	2	1	stress	math	94.525	154.504
29	2	1	relax	rotation	182.495	241.666
29	2	1	relax	math	270.399	330.360
29	2	2	stress	rotation	358.331	418.248
29	2	2	stress	math	446.303	506.301
29	2	2	relax	rotation	534.315	594.247
29	2	2	relax	math	622.209	681.510
